Producto,Calorias,Proteinas,Grasas,Grasas_Saturadas,Hidratos_Carbono,Azucares,Sal,Restaurante
Actimel,75.0,2.7,1.5,1.0,11.8,0.0,0.15,KFC
Kentucky Shake chocolate nata,335.3,4.69,6.08,4.33,32.55,27.8,0.39,KFC
Kentucky Shake Oreo nata,379.4,4.69,6.08,4.33,41.12,34.92,0.42,KFC
Kentucky Shake Fresa nata,295.9,4.69,6.08,4.33,35.55,30.69,0.39,KFC
Kentucky Shake chocolate,241.7,4.69,6.08,4.33,28.98,24.23,0.39,KFC
Kentucky Shake Oreo,285.8,4.69,6.08,4.33,37.55,31.35,0.42,KFC
Kentucky Shake Fresa,202.3,4.69,6.08,4.33,31.98,27.12,0.39,KFC
Cono KFC,167.87,3.88,4.27,2.98,22.56,14.82,0.18,KFC
Gofre,400.5,5.36,20.25,10.44,48.15,21.6,1.08,KFC
Gofre con chocolate y helado,627.8,6.06,25.57,11.32,72.46,40.58,1.29,KFC
Sundae Caramelo,194.95,4.6,5.0,3.6,29.45,22.18,0.21,KFC
Sundae Chocolate,214.4,5.62,9.76,4.66,23.67,18.5,0.21,KFC
Sundae Frutas del Bosque,168.08,4.6,5.0,3.6,24.15,19.3,0.18,KFC
KreamBall Oreo,432.22,8.64,13.95,8.96,50.23,41.55,0.35,KFC
KreamBall Kit kat,415.95,9.67,14.65,6.02,39.23,31.97,0.29,KFC
KreamBall Lacasitos y Caramelo,354.95,7.05,7.6,5.45,51.73,34.85,0.35,KFC
7 up free mediano,0.24,0.04,0.0,0.0,0.0,0.05,0.02,KFC
7up free grande,0.3,0.05,0.0,0.0,0.0,0.05,0.02,KFC
7up free pequeño,0.12,0.02,0.0,0.0,0.0,0.05,0.01,KFC
Agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KFC
Bifrutas,20.0,83.68,0.6,0.0,0.0,3.6,4.0,KFC
Kas naranja grande,22.5,0.05,0.0,0.0,4.3,4.3,0.0,KFC
Kas naranja mediana,18.0,0.04,0.0,0.0,3.44,3.44,0.0,KFC
Kas naranja pequeña,9.0,0.02,0.0,0.0,1.72,1.72,0.0,KFC
Kas Naranja Zero grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KFC
Kas Naranja,0.4,0.0,0.0,0.0,0.0,0.0,0.0,KFC
Kas Naranja,0.25,0.0,0.0,0.0,0.0,0.0,0.0,KFC
Kas Limón Zero grande,1.0,0.0,0.0,0.0,0.05,0.0,0.01,KFC
Kas Limón,0.8,0.0,0.0,0.0,0.04,0.0,0.0,KFC
Kas Limón,0.5,0.0,0.0,0.0,0.03,0.0,0.0,KFC
Lipton grande,15.0,0.25,0.25,0.25,3.4,3.35,0.01,KFC
Lipton mediano,12.0,0.2,0.2,0.2,2.72,2.68,0.01,KFC
Lipton pequeño,5.0,0.1,0.1,0.1,1.32,1.3,0.0,KFC
Aquarade grande,0.4,0.0,0.0,0.0,0.0,0.0,0.02,KFC
Aquarade mediano,0.4,0.0,0.0,0.0,0.0,0.0,0.02,KFC
Aquarade pequeño,0.25,0.0,0.0,0.0,0.0,0.0,0.02,KFC
Pepsi regular Grande,14.0,0.0,0.0,0.0,3.5,3.5,0.01,KFC
Pepsi regular mediana,11.2,0.0,0.0,0.0,2.8,2.8,0.0,KFC
Pepsi regular pequeña,7.0,0.0,0.0,0.0,1.75,1.75,0.0,KFC
Pepsi Light grande,1.31,0.0,0.0,0.0,0.4,0.0,0.0,KFC
Pepsi Light mediana,0.99,0.0,0.0,0.0,0.2,0.0,0.0,KFC
Pepsi Light pequeña,0.6,0.0,0.0,0.0,0.2,0.0,0.0,KFC
Pepsi Max Zero cafeína grande,0.2,0.05,0.0,0.0,0.05,0.0,0.01,KFC
Pepsi Max Zero cafeína Mediana,0.16,0.04,0.0,0.0,0.04,0.0,0.01,KFC
Pepsi Max zero cafeína pequeña,0.08,0.02,0.0,0.0,0.02,0.0,0.0,KFC
Mayonesa,27.8,0.1,2.7,0.23,0.82,0.38,0.18,KFC
Ketchup,10.3,0.1,0.0,0.0,2.3,2.3,0.18,KFC
Salsa 2Hot4U,32.2,0.5,0.5,0.0,7.59,0.0,0.74,KFC
Salsa Aceite-Vinagre,16.2,0.1,1.0,0.0,1.3,0.0,0.1,KFC
Salsa Barbacoa,40.0,0.5,0.5,0.0,10.0,0.0,0.63,KFC
Salsa Caesar,230.5,0.6,23.0,3.85,5.0,4.55,0.85,KFC
Salsa Fesh Pepper,75.9,0.0,7.82,0.67,1.38,0.76,0.52,KFC
Salsa mostaza,16.08,0.2,0.23,0.03,0.17,0.04,0.15,KFC
Salsa queso,128.5,17.4,9.75,3.5,7.6,1.5,1.4,KFC
Salsa_Sweet_Imperial,35.42,0.5,0.23,0.5,8.28,0.0,0.22,KFC
Chick&Share( 9 tiras de pechuga CR),864.0,68.4,30.24,3.17,46.44,0.0,5.98,KFC
Chick&Share( 9 tiras de pechuga OR),752.4,90.0,33.84,3.6,28.8,0.2,7.2,KFC
Chick&Share( 9 tiras de pechuga Mixtas),814.4,78.0,31.84,3.36,38.6,0.0,6.52,KFC
Chick&Share ( 12 Alitas_picantes),1071.84,52.08,75.6,20.83,43.01,0.0,5.04,KFC
Chick&Share cruji (6 piezas_pollo),1830.6,144.41,107.8,21.7,70.51,0.0,10.17,KFC
Chick&Share original (6 piezas_pollo),1402.62,116.4,81.48,23.28,52.38,0.0,9.82,KFC
Chick&Share mixto (3cruji_3 original),1616.61,130.41,94.64,22.49,61.45,0.0,10.0,KFC
Menu_2( 5 piezas de pollo OR_5 alitas picantes),1615.45,118.7,99.4,28.08,61.57,0.0,10.28,KFC
Menu_2( 5 piezas de pollo cruji_5 alitas picantes),1972.1,142.05,121.34,26.76,76.68,0.0,10.58,KFC
Menú para 2(12 tiras de pechuga CR),1152.0,91.2,40.32,4.22,61.92,0.0,7.97,KFC
Menú para 2(12 tiras de pechuga OR),1003.2,120.0,45.12,4.8,38.4,0.0,9.6,KFC
Menú para 2(12 tiras de pechuga mixtas),1077.6,105.6,42.72,4.51,50.16,0.0,8.78,KFC
Menú para 2(10 tiras de pechuga CR),960.0,76.0,33.6,3.52,51.6,0.0,6.64,KFC
Menú para 2(10 tiras de pechuga OR),836.0,100.0,37.6,4.0,32.0,0.0,8.0,KFC
Menú para 2(10 tiras de pechuga Mixtas),898.0,88.0,35.6,3.76,41.8,0.0,7.32,KFC
Bucket para 3 per.(9 piezas OR),2103.93,174.6,122.22,34.92,78.57,0.05,14.73,KFC
Bucket_3(9 piezasCruji),2745.9,216.62,161.7,32.54,105.77,0.05,15.26,KFC
Bucket_3(15 tiras de pechuga CR),1440.0,114.0,50.4,5.28,77.4,0.05,9.96,KFC
Bucket_3(15 tiras de pechuga OR),1254.0,150.0,56.4,6.0,48.0,0.0,12.0,KFC
Bucket_3(15 tiras de pechuga Mixtas),1353.2,130.8,53.2,5.62,63.68,0.0,10.91,KFC
Bucket_4(12piezas OR),2805.24,232.8,162.96,46.56,104.76,0.0,19.64,KFC
Bucket_4(12piezas cruji),3661.2,288.83,215.6,43.39,141.02,0.0,20.34,KFC
Buckets_4(20 tiras de pechuga CR),384.0,30.4,13.44,1.41,20.64,0.0,2.66,KFC
Buckets_4 (20 tiras de pechuga OR),1672.0,200.0,75.2,8.0,64.0,0.0,16.0,KFC
Buckets_4(20 tiras de pechuga Mitas),1796.0,176.0,71.2,7.52,83.6,0.0,14.64,KFC
The_box,838.6,36.42,34.58,5.87,86.38,25.5,4.0,KFC
Superbox Double Krunch BBC ,1009.4,39.22,39.29,9.45,107.33,42.65,4.29,KFC
Superbox Double Krunch ,991.86,36.29,36.45,9.44,114.03,39.77,3.69,KFC
Superbox Twister ,1156.15,34.99,54.68,13.01,115.87,38.28,4.03,KFC
Menú Superbucket,2296.94,107.74,108.7,13.64,177.35,9.55,11.4,KFC
BBQ Bacon Cheese,525.27,35.41,17.35,5.25,44.46,4.79,3.84,KFC
Doble BBQ Bacon Cheese burger,771.6,61.41,32.47,4.17,54.83,7.81,6.59,KFC
Classic Burger,244.25,14.31,8.89,0.67,26.87,3.56,1.36,KFC
Double Krunch,442.9,27.59,17.18,1.34,44.84,5.47,2.76,KFC
Nueva Double Krunch BBC,460.44,30.53,20.01,1.35,38.14,8.35,3.36,KFC
Original Double Cheese burger,474.28,31.14,17.54,2.02,46.4,5.95,2.59,KFC
Kids burger,228.9,11.78,5.19,0.35,29.49,5.34,1.21,KFC
Kids Mayo Burger,256.65,11.91,8.49,0.62,28.83,3.56,1.23,KFC
Kids Cheese Burger,269.7,14.21,8.36,0.35,29.88,5.0,1.49,KFC
Kids Mayo Wrap,302.05,11.06,13.95,2.25,29.34,3.08,1.61,KFC
Kids Cheese Wrap,280.0,13.28,10.52,1.71,29.03,3.66,1.69,KFC
Coronel Original Burger,477.79,31.15,17.87,2.05,46.53,6.04,2.61,KFC
BBQ Cheese Burger,465.8,23.47,18.46,0.7,43.24,7.92,2.88,KFC
Double Krunch BBQ Cheese,522.25,27.54,19.47,1.45,50.55,8.06,3.11,KFC
La Pollizza,579.09,56.56,30.81,2.38,23.28,3.14,6.11,KFC
Pepinera,573.15,33.32,27.79,2.66,46.01,6.22,3.82,KFC
Ensalada Original,154.1,13.1,4.61,0.56,13.9,1.73,1.02,KFC
Ensalada Emmental,350.82,12.7,15.25,5.92,36.3,1.73,1.26,KFC
Twister bbc,530.33,30.68,22.66,3.11,47.65,5.14,3.64,KFC
Twister,607.19,26.29,35.41,4.91,46.68,3.98,3.1,KFC
2 tiras de pechuga CR,192.0,15.2,6.72,0.7,10.32,0.05,1.33,KFC
2 tiras de pechuga OR,167.2,20.0,7.52,0.8,6.4,0.2,1.6,KFC
3 tiras de pechuga CR,288.0,22.8,10.08,1.06,15.48,0.05,1.99,KFC
3 tiras de pechuga OR,250.8,30.0,11.28,1.2,9.6,0.2,2.4,KFC
5 tiras de pechuga CR,480.0,38.0,16.8,1.76,25.8,0.05,3.32,KFC
5 tiras de pechuga OR,418.0,50.0,18.8,2.0,16.0,0.2,4.0,KFC
1 pieza pollo OR,233.77,19.4,13.58,3.88,8.73,0.05,1.64,KFC
2 piezas pollo OR,467.54,38.8,27.16,7.76,17.46,0.1,3.27,KFC
3 piezas pollo OR,701.31,58.2,40.74,11.64,26.19,0.2,4.91,KFC
1 pieza pollo cruji,305.1,24.07,17.97,3.62,11.75,0.3,1.7,KFC
2 piezas pollo cruji,610.2,48.14,35.93,7.23,23.5,0.4,3.39,KFC
3 piezas pollo cruji,915.3,72.21,53.9,10.85,35.26,0.5,5.09,KFC
2 alitas picantes,178.64,8.68,12.6,3.47,7.17,0.5,0.84,KFC
3 alitas picantes,267.96,13.02,18.9,5.21,10.75,0.5,1.26,KFC
5 alitas picantes,446.6,21.7,31.5,8.68,17.92,0.6,2.1,KFC
8 alitas picantes,714.56,34.72,50.4,13.89,28.67,0.7,3.36,KFC
Box del día,941.86,36.29,34.31,6.12,102.16,23.42,3.79,KFC
4 Emmental bites,390.0,14.0,23.0,9.7,31.0,0.0,1.5,KFC
Patatas fritas pequeñas(72gr),207.36,3.1,9.86,0.94,27.29,0.0,0.35,KFC
Patatas fritas medianas(92gr),264.96,3.96,12.6,1.2,34.87,0.05,0.44,KFC
Patatas fritas grandes(127gr),365.76,5.46,17.4,1.65,48.13,0.0,0.61,KFC
Patatas Rustic pequeñas(70 gr),188.3,2.1,8.33,0.7,24.5,0.0,0.63,KFC
Patatas Rustic grandes (90 gr),242.1,2.7,10.71,0.9,31.5,0.0,0.81,KFC
Kentucky Fries Cheese,624.1,22.62,33.59,6.74,62.38,0.0,3.22,KFC
Kentucky Fries Bacon,568.1,9.06,25.87,3.94,66.94,0.0,3.12,KFC
Kentucky Mayo Mex,665.3,8.98,40.19,5.62,59.54,0.0,2.65,KFC
Ensalada Side,25.15,1.2,0.49,0.1,3.32,1.28,0.11,KFC
Puré con Gravy,128.4,3.1,1.4,0.0,25.3,0.0,0.0,KFC
